NASDAQOMX/NQGI,NASDAQ Global Index (NQGI)
NASDAQOMX/NQASIA2000LMGBP,NASDAQ Asia Inds Large Mid Cap GBP Index (NQASIA2000LMGBP)
NASDAQOMX/NQASIA2000LMGBPN,NASDAQ Asia Inds Large Mid Cap GBP NTR Index (NQASIA2000LMGBPN)
NASDAQOMX/NQASIA2000LMGBPT,NASDAQ Asia Inds Large Mid Cap GBP TR Index (NQASIA2000LMGBPT)
NASDAQOMX/NQASIA2000LM,NASDAQ Asia Inds Large Mid Cap Index (NQASIA2000LM)
NASDAQOMX/NQASIA2000LMJPY,NASDAQ Asia Inds Large Mid Cap JPY Index (NQASIA2000LMJPY)
NASDAQOMX/NQASIA2000LMJPYN,NASDAQ Asia Inds Large Mid Cap JPY NTR Index (NQASIA2000LMJPYN)
NASDAQOMX/NQASIA2000LMJPYT,NASDAQ Asia Inds Large Mid Cap JPY TR Index (NQASIA2000LMJPYT)
NASDAQOMX/NQASIA2000LMN,NASDAQ Asia Inds Large Mid Cap NTR Index (NQASIA2000LMN)
NASDAQOMX/NQASIA2000LMT,NASDAQ Asia Inds Large Mid Cap TR Index (NQASIA2000LMT)
NASDAQOMX/NQASIA2000N,NASDAQ Asia Inds NTR Index (NQASIA2000N)
NASDAQOMX/NQASIA2000T,NASDAQ Asia Inds TR Index (NQASIA2000T)
NASDAQOMX/NQASIAJPY,NASDAQ Asia JPY Index (NQASIAJPY)
NASDAQOMX/NQASIAJPYN,NASDAQ Asia JPY NTR Index (NQASIAJPYN)
NASDAQOMX/NQASIAJPYT,NASDAQ Asia JPY TR Index (NQASIAJPYT)
NASDAQOMX/NQASIALMAUD,NASDAQ Asia Large Mid Cap AUD Index (NQASIALMAUD)
NASDAQOMX/NQASIALMAUDN,NASDAQ Asia Large Mid Cap AUD NTR Index (NQASIALMAUDN)
