NASDAQOMX/NQGI,NASDAQ Global Index (NQGI)
NASDAQOMX/NQMEA6000GBP,NASDAQ MEA Telecom GBP Index (NQMEA6000GBP)
NASDAQOMX/NQMEA6000GBPN,NASDAQ MEA Telecom GBP NTR Index (NQMEA6000GBPN)
NASDAQOMX/NQMEA6000GBPT,NASDAQ MEA Telecom GBP TR Index (NQMEA6000GBPT)
NASDAQOMX/NQMEA6000,NASDAQ MEA Telecom Index (NQMEA6000)
NASDAQOMX/NQMEA6000JPY,NASDAQ MEA Telecom JPY Index (NQMEA6000JPY)
NASDAQOMX/NQMEA6000JPYN,NASDAQ MEA Telecom JPY NTR Index (NQMEA6000JPYN)
NASDAQOMX/NQMEA6000JPYT,NASDAQ MEA Telecom JPY TR Index (NQMEA6000JPYT)
NASDAQOMX/NQMEA6000LMAUD,NASDAQ MEA Telecom Large Mid Cap AUD Index (NQMEA6000LMAUD)
NASDAQOMX/NQMEA6000LMAUDN,NASDAQ MEA Telecom Large Mid Cap AUD NTR Index (NQMEA6000LMAUDN)
NASDAQOMX/NQMEA6000LMAUDT,NASDAQ MEA Telecom Large Mid Cap AUD TR Index (NQMEA6000LMAUDT)
NASDAQOMX/NQMEA6000LMCAD,NASDAQ MEA Telecom Large Mid Cap CAD Index (NQMEA6000LMCAD)
NASDAQOMX/NQMEA6000LMCADN,NASDAQ MEA Telecom Large Mid Cap CAD NTR Index (NQMEA6000LMCADN)
NASDAQOMX/NQMEA6000LMCADT,NASDAQ MEA Telecom Large Mid Cap CAD TR Index (NQMEA6000LMCADT)
NASDAQOMX/NQMEA6000LMEUR,NASDAQ MEA Telecom Large Mid Cap EUR Index (NQMEA6000LMEUR)
NASDAQOMX/NQMEA6000LMEURN,NASDAQ MEA Telecom Large Mid Cap EUR NTR Index (NQMEA6000LMEURN)
NASDAQOMX/NQMEA6000LMEURT,NASDAQ MEA Telecom Large Mid Cap EUR TR Index (NQMEA6000LMEURT)
NASDAQOMX/NQMEA6000LMGBP,NASDAQ MEA Telecom Large Mid Cap GBP Index (NQMEA6000LMGBP)
NASDAQOMX/NQMEA6000LMGBPN,NASDAQ MEA Telecom Large Mid Cap GBP NTR Index (NQMEA6000LMGBPN)
NASDAQOMX/NQMEA6000LMGBPT,NASDAQ MEA Telecom Large Mid Cap GBP TR Index (NQMEA6000LMGBPT)
NASDAQOMX/NQMEA6000LM,NASDAQ MEA Telecom Large Mid Cap Index (NQMEA6000LM)
NASDAQOMX/NQMEA6000LMJPY,NASDAQ MEA Telecom Large Mid Cap JPY Index (NQMEA6000LMJPY)
NASDAQOMX/NQMEA6000LMJPYN,NASDAQ MEA Telecom Large Mid Cap JPY NTR Index (NQMEA6000LMJPYN)
NASDAQOMX/NQMEA6000LMJPYT,NASDAQ MEA Telecom Large Mid Cap JPY TR Index (NQMEA6000LMJPYT)
NASDAQOMX/NQMEA6000LMN,NASDAQ MEA Telecom Large Mid Cap NTR Index (NQMEA6000LMN)
NASDAQOMX/NQMEA6000LMT,NASDAQ MEA Telecom Large Mid Cap TR Index (NQMEA6000LMT)
NASDAQOMX/NQMEA6000N,NASDAQ MEA Telecom NTR Index (NQMEA6000N)
NASDAQOMX/NQMEA6000T,NASDAQ MEA Telecom TR Index (NQMEA6000T)
NASDAQOMX/NQMEAT,NASDAQ MEA TR Index (NQMEAT)
NASDAQOMX/NQMEA5700AUD,NASDAQ MEA Travel & Leisure AUD Index (NQMEA5700AUD)
NASDAQOMX/NQMEA5700AUDN,NASDAQ MEA Travel & Leisure AUD NTR Index (NQMEA5700AUDN)
NASDAQOMX/NQMEA5700AUDT,NASDAQ MEA Travel & Leisure AUD TR Index (NQMEA5700AUDT)
NASDAQOMX/NQMEA5700CAD,NASDAQ MEA Travel & Leisure CAD Index (NQMEA5700CAD)
NASDAQOMX/NQMEA5700CADN,NASDAQ MEA Travel & Leisure CAD NTR Index (NQMEA5700CADN)
NASDAQOMX/NQMEA5700CADT,NASDAQ MEA Travel & Leisure CAD TR Index (NQMEA5700CADT)
NASDAQOMX/NQMEA5700EUR,NASDAQ MEA Travel & Leisure EUR Index (NQMEA5700EUR)
NASDAQOMX/NQMEA5700EURN,NASDAQ MEA Travel & Leisure EUR NTR Index (NQMEA5700EURN)
NASDAQOMX/NQMEA5700EURT,NASDAQ MEA Travel & Leisure EUR TR Index (NQMEA5700EURT)
NASDAQOMX/NQMEA5700GBP,NASDAQ MEA Travel & Leisure GBP Index (NQMEA5700GBP)
NASDAQOMX/NQMEA5700GBPN,NASDAQ MEA Travel & Leisure GBP NTR Index (NQMEA5700GBPN)
NASDAQOMX/NQMEA5700GBPT,NASDAQ MEA Travel & Leisure GBP TR Index (NQMEA5700GBPT)
NASDAQOMX/NQMEA5700,NASDAQ MEA Travel & Leisure Index (NQMEA5700)
NASDAQOMX/NQMEA5700JPY,NASDAQ MEA Travel & Leisure JPY Index (NQMEA5700JPY)
NASDAQOMX/NQMEA5700JPYN,NASDAQ MEA Travel & Leisure JPY NTR Index (NQMEA5700JPYN)
NASDAQOMX/NQMEA5700JPYT,NASDAQ MEA Travel & Leisure JPY TR Index (NQMEA5700JPYT)
NASDAQOMX/NQMEA5700N,NASDAQ MEA Travel & Leisure NTR Index (NQMEA5700N)
NASDAQOMX/NQMEA5700T,NASDAQ MEA Travel & Leisure TR Index (NQMEA5700T)
NASDAQOMX/ABAQ,ABA NASDAQ Community Bank (ABAQ)
NASDAQOMX/XABQ,ABA NASDAQ Community Bank Total Return (XABQ)
NASDAQOMX/QGLDID,Credit Suisse NASDAQ Gold FLOWS 103 Distribution I (QGLDID)
NASDAQOMX/BIXX,BetterInvesting 100 (BIXX)
NASDAQOMX/BIXR,BetterInvesting 100 Total Return (BIXR)
NASDAQOMX/QGLDI,Credit Suisse NASDAQ Gold FLOWS103 Price Index (QGLDI)
NASDAQOMX/QSLVO,Credit Suisse NASDAQ Silver FLOWS106 Price Index (QSLVO)
NASDAQOMX/QGLDITR,Credit Suisse NASDAQ Gold FLOWS103 Total Return In (QGLDITR)
NASDAQOMX/QSLVOD,Credit Suisse NASDAQ Silver FLOWS 106 Distribution (QSLVOD)
NASDAQOMX/QSLVOTR,Credit Suisse NASDAQ Silv FLOWS106 TR Index (QSLVOTR)
NASDAQOMX/DWANQFF,Dorsey Wright Focus Five Index(DWANQFF)
NASDAQOMX/DWANQFFT,Dorsey Wright Focus Five Total Return Index(DWANQFFT)
NASDAQOMX/DWANQTL,Dorsey Wright NASDAQ Technical Leaders Index (DWANQTL)
NASDAQOMX/DWANQIFF,Dorsey Wright International Focus Five Index (DWANQIFF)
NASDAQOMX/DWANQIFFT,Dorsey Wright International Focus Five Total Retur (DWANQIFFT)
NASDAQOMX/DWANQTLT,Dorsey Wright NASDAQ Technical Leaders Total Retur (DWANQTLT)
NASDAQOMX/DAAXJPT,NASDAQ Asia ex Japan Dividend Achievers TR (DAAXJPT)
NASDAQOMX/DAAXJP,NASDAQ Asia ex Japan Dividend Achievers (DAAXJP)
NASDAQOMX/DAAXJPHKD,NASDAQ Asia ex Japan Dividend Achievers HKD (DAAXJPHKD)
NASDAQOMX/DAAXJPHKDN,NASDAQ Asia ex Japan Dividend Achievers HKD NTR (DAAXJPHKDN)
NASDAQOMX/DAAXJPHKDT,NASDAQ Asia ex Japan Dividend Achievers HKD TR (DAAXJPHKDT)
NASDAQOMX/DAAXJPN,NASDAQ Asia ex Japan Dividend Achievers NTR (DAAXJPN)
NASDAQOMX/NQAUAUDN,NASDAQ Australia AUD NTR Index (NQAUAUDN)
NASDAQOMX/NQAUAUDT,NASDAQ Australia AUD TR Index (NQAUAUDT)
NASDAQOMX/NQAUAUD,NASDAQ Australia AUD Index (NQAUAUD)
NASDAQOMX/NQAU1000AUD,NASDAQ Australia Basic Matls AUD Index (NQAU1000AUD)
NASDAQOMX/NQAU1000AUDN,NASDAQ Australia Basic Matls AUD NTR Index (NQAU1000AUDN)
NASDAQOMX/NQAU1000AUDT,NASDAQ Australia Basic Matls AUD TR Index (NQAU1000AUDT)
NASDAQOMX/NQAU1000CAD,NASDAQ Australia Basic Matls CAD Index (NQAU1000CAD)
NASDAQOMX/NQAU1000EURN,NASDAQ Australia Basic Matls EUR NTR Index (NQAU1000EURN)
NASDAQOMX/NQAU1000EUR,NASDAQ Australia Basic Matls EUR Index (NQAU1000EUR)
NASDAQOMX/NQAU1000CADN,NASDAQ Australia Basic Matls CAD NTR Index (NQAU1000CADN)
NASDAQOMX/NQAU1000CADT,NASDAQ Australia Basic Matls CAD TR Index (NQAU1000CADT)
NASDAQOMX/NQAU1000EURT,NASDAQ Australia Basic Matls EUR TR Index (NQAU1000EURT)
NASDAQOMX/NQAU1000GBP,NASDAQ Australia Basic Matls GBP Index (NQAU1000GBP)
NASDAQOMX/NQAU1000GBPN,NASDAQ Australia Basic Matls GBP NTR Index (NQAU1000GBPN)
NASDAQOMX/NQAU1000JPY,NASDAQ Australia Basic Matls JPY Index (NQAU1000JPY)
NASDAQOMX/NQAU1000,NASDAQ Australia Basic Matls Index (NQAU1000)
NASDAQOMX/NQAU1000GBPT,NASDAQ Australia Basic Matls GBP TR Index (NQAU1000GBPT)
NASDAQOMX/NQAU1000JPYN,NASDAQ Australia Basic Matls JPY NTR Index (NQAU1000JPYN)
NASDAQOMX/NQAU1000LMAUD,NASDAQ Australia Basic Matls Lg Md Cap AUD (NQAU1000LMAUD)
NASDAQOMX/NQAU1000JPYT,NASDAQ Australia Basic Matls JPY TR Index (NQAU1000JPYT)
NASDAQOMX/NQAU1000LMAUDN,NASDAQ Australia Basic Matls Lg Md Cap AUD NTR (NQAU1000LMAUDN)
NASDAQOMX/NQAU1000LMAUDT,NASDAQ Australia Basic Matls Lg Md Cap AUD TR (NQAU1000LMAUDT)
NASDAQOMX/NQAU1000LMCAD,NASDAQ Australia Basic Matls Lg Md Cap CAD (NQAU1000LMCAD)
NASDAQOMX/NQAU1000LMCADN,NASDAQ Australia Basic Matls Lg Md Cap CAD NTR (NQAU1000LMCADN)
NASDAQOMX/NQAU1000LMCADT,NASDAQ Australia Basic Matls Lg Md Cap CAD TR (NQAU1000LMCADT)
NASDAQOMX/NQAU1000LMEUR,NASDAQ Australia Basic Matls Lg Md Cap EUR (NQAU1000LMEUR)
NASDAQOMX/NQAU1000LMEURN,NASDAQ Australia Basic Matls Lg Md Cap EUR NTR (NQAU1000LMEURN)
NASDAQOMX/NQAU1000LMEURT,NASDAQ Australia Basic Matls Lg Md Cap EUR TR (NQAU1000LMEURT)
NASDAQOMX/NQAU1000LMGBP,NASDAQ Australia Basic Matls Lg Md Cap GBP (NQAU1000LMGBP)
NASDAQOMX/NQAU1000LMGBPT,NASDAQ Australia Basic Matls Lg Md Cap GBP TR (NQAU1000LMGBPT)
NASDAQOMX/NQAU1000LMGBPN,NASDAQ Australia Basic Matls Lg Md Cap GBP NTR (NQAU1000LMGBPN)
NASDAQOMX/NQAU1000LM,NASDAQ Australia Basic Matls Lg Md Cap Index (NQAU1000LM)
NASDAQOMX/NQAU1000LMJPYT,NASDAQ Australia Basic Matls Lg Md Cap JPY TR (NQAU1000LMJPYT)
NASDAQOMX/NQAU1000LMJPY,NASDAQ Australia Basic Matls Lg Md Cap JPY (NQAU1000LMJPY)
NASDAQOMX/NQAU1000LMJPYN,NASDAQ Australia Basic Matls Lg Md Cap JPY NTR (NQAU1000LMJPYN)
NASDAQOMX/NQAU1000LMN,NASDAQ Australia Basic Matls Lg Md Cap NTR Index (NQAU1000LMN)
NASDAQOMX/NQAU1000LMT,NASDAQ Australia Basic Matls Lg Md Cap TR Index (NQAU1000LMT)
NASDAQOMX/NQAU1000N,NASDAQ Australia Basic Matls NTR Index (NQAU1000N)
NASDAQOMX/NQAU1000T,NASDAQ Australia Basic Matls TR Index (NQAU1000T)
NASDAQOMX/NQAUCAD,NASDAQ Australia CAD Index (NQAUCAD)
NASDAQOMX/NQAUCADT,NASDAQ Australia CAD TR Index (NQAUCADT)
NASDAQOMX/NQAUCADN,NASDAQ Australia CAD NTR Index (NQAUCADN)
NASDAQOMX/NQAU3000AUD,NASDAQ Australia Cnsmr Goods AUD Index (NQAU3000AUD)
NASDAQOMX/NQAU3000CADN,NASDAQ Australia Cnsmr Goods CAD NTR Index (NQAU3000CADN)
NASDAQOMX/NQAU3000AUDN,NASDAQ Australia Cnsmr Goods AUD NTR Index (NQAU3000AUDN)
NASDAQOMX/NQAU3000AUDT,NASDAQ Australia Cnsmr Goods AUD TR Index (NQAU3000AUDT)
NASDAQOMX/NQAU3000CAD,NASDAQ Australia Cnsmr Goods CAD Index (NQAU3000CAD)
NASDAQOMX/NQAU3000EUR,NASDAQ Australia Cnsmr Goods EUR Index (NQAU3000EUR)
NASDAQOMX/NQAU3000EURN,NASDAQ Australia Cnsmr Goods EUR NTR Index (NQAU3000EURN)
NASDAQOMX/NQAU3000CADT,NASDAQ Australia Cnsmr Goods CAD TR Index (NQAU3000CADT)
NASDAQOMX/NQAU3000EURT,NASDAQ Australia Cnsmr Goods EUR TR Index (NQAU3000EURT)
NASDAQOMX/NQAU3000GBP,NASDAQ Australia Cnsmr Goods GBP Index (NQAU3000GBP)
NASDAQOMX/NQAU3000GBPN,NASDAQ Australia Cnsmr Goods GBP NTR Index (NQAU3000GBPN)
NASDAQOMX/NQAU3000GBPT,NASDAQ Australia Cnsmr Goods GBP TR Index (NQAU3000GBPT)
NASDAQOMX/NQAU3000,NASDAQ Australia Cnsmr Goods Index (NQAU3000)
NASDAQOMX/NQAU3000JPY,NASDAQ Australia Cnsmr Goods JPY Index (NQAU3000JPY)
NASDAQOMX/NQAU3000JPYN,NASDAQ Australia Cnsmr Goods JPY NTR Index (NQAU3000JPYN)
NASDAQOMX/NQAU3000JPYT,NASDAQ Australia Cnsmr Goods JPY TR Index (NQAU3000JPYT)
NASDAQOMX/NQAU3000N,NASDAQ Australia Cnsmr Goods NTR Index (NQAU3000N)
NASDAQOMX/NQAU3000T,NASDAQ Australia Cnsmr Goods TR Index (NQAU3000T)
NASDAQOMX/NQAU5000AUD,NASDAQ Australia Cnsmr Svcs AUD Index (NQAU5000AUD)
NASDAQOMX/NQAU5000AUDN,NASDAQ Australia Cnsmr Svcs AUD NTR Index (NQAU5000AUDN)
NASDAQOMX/NQAU5000AUDT,NASDAQ Australia Cnsmr Svcs AUD TR Index (NQAU5000AUDT)
NASDAQOMX/NQAU5000CAD,NASDAQ Australia Cnsmr Svcs CAD Index (NQAU5000CAD)
NASDAQOMX/NQAU5000EUR,NASDAQ Australia Cnsmr Svcs EUR Index (NQAU5000EUR)
NASDAQOMX/NQAU5000CADN,NASDAQ Australia Cnsmr Svcs CAD NTR Index (NQAU5000CADN)
NASDAQOMX/NQAU5000CADT,NASDAQ Australia Cnsmr Svcs CAD TR Index (NQAU5000CADT)
NASDAQOMX/NQAU5000GBP,NASDAQ Australia Cnsmr Svcs GBP Index (NQAU5000GBP)
NASDAQOMX/NQAU5000EURT,NASDAQ Australia Cnsmr Svcs EUR TR Index (NQAU5000EURT)
NASDAQOMX/NQAU5000EURN,NASDAQ Australia Cnsmr Svcs EUR NTR Index (NQAU5000EURN)
NASDAQOMX/NQAU5000GBPN,NASDAQ Australia Cnsmr Svcs GBP NTR Index (NQAU5000GBPN)
NASDAQOMX/NQAU5000JPY,NASDAQ Australia Cnsmr Svcs JPY Index (NQAU5000JPY)
NASDAQOMX/NQAU5000,NASDAQ Australia Cnsmr Svcs Index (NQAU5000)
NASDAQOMX/NQAU5000GBPT,NASDAQ Australia Cnsmr Svcs GBP TR Index (NQAU5000GBPT)
NASDAQOMX/NQAU5000JPYT,NASDAQ Australia Cnsmr Svcs JPY TR Index (NQAU5000JPYT)
NASDAQOMX/NQAU5000JPYN,NASDAQ Australia Cnsmr Svcs JPY NTR Index (NQAU5000JPYN)
NASDAQOMX/NQAU5000LMAUD,NASDAQ Australia Cnsmr Svcs Lg Md Cap AUD (NQAU5000LMAUD)
NASDAQOMX/NQAU5000LMAUDT,NASDAQ Australia Cnsmr Svcs Lg Md Cap AUD TR (NQAU5000LMAUDT)
NASDAQOMX/NQAU5000LMAUDN,NASDAQ Australia Cnsmr Svcs Lg Md Cap AUD NTR (NQAU5000LMAUDN)
NASDAQOMX/NQAU5000LMCAD,NASDAQ Australia Cnsmr Svcs Lg Md Cap CAD (NQAU5000LMCAD)
NASDAQOMX/NQAU5000LMCADN,NASDAQ Australia Cnsmr Svcs Lg Md Cap CAD NTR (NQAU5000LMCADN)
NASDAQOMX/NQAU5000LMCADT,NASDAQ Australia Cnsmr Svcs Lg Md Cap CAD TR (NQAU5000LMCADT)
NASDAQOMX/NQAU5000LMEUR,NASDAQ Australia Cnsmr Svcs Lg Md Cap EUR (NQAU5000LMEUR)
NASDAQOMX/NQAU5000LMGBP,NASDAQ Australia Cnsmr Svcs Lg Md Cap GBP (NQAU5000LMGBP)
NASDAQOMX/NQAU5000LMEURN,NASDAQ Australia Cnsmr Svcs Lg Md Cap EUR NTR (NQAU5000LMEURN)
NASDAQOMX/NQAU5000LMEURT,NASDAQ Australia Cnsmr Svcs Lg Md Cap EUR TR (NQAU5000LMEURT)
NASDAQOMX/NQAU5000LMGBPN,NASDAQ Australia Cnsmr Svcs Lg Md Cap GBP NTR (NQAU5000LMGBPN)
NASDAQOMX/NQAU5000LMGBPT,NASDAQ Australia Cnsmr Svcs Lg Md Cap GBP TR (NQAU5000LMGBPT)
NASDAQOMX/NQAU5000LM,NASDAQ Australia Cnsmr Svcs Lg Md Cap Index (NQAU5000LM)
NASDAQOMX/NQAU5000LMJPY,NASDAQ Australia Cnsmr Svcs Lg Md Cap JPY (NQAU5000LMJPY)
NASDAQOMX/NQAU5000LMJPYN,NASDAQ Australia Cnsmr Svcs Lg Md Cap JPY NTR (NQAU5000LMJPYN)
NASDAQOMX/NQAU5000N,NASDAQ Australia Cnsmr Svcs NTR Index (NQAU5000N)
NASDAQOMX/NQAU5000LMN,NASDAQ Australia Cnsmr Svcs Lg Md Cap NTR Index (NQAU5000LMN)
NASDAQOMX/NQAU5000LMJPYT,NASDAQ Australia Cnsmr Svcs Lg Md Cap JPY TR (NQAU5000LMJPYT)
NASDAQOMX/NQAU5000LMT,NASDAQ Australia Cnsmr Svcs Lg Md Cap TR Index (NQAU5000LMT)
NASDAQOMX/NQAU5000T,NASDAQ Australia Cnsmr Svcs TR Index (NQAU5000T)
NASDAQOMX/NQAUEUR,NASDAQ Australia EUR Index (NQAUEUR)
NASDAQOMX/NQAUEURN,NASDAQ Australia EUR NTR Index (NQAUEURN)
NASDAQOMX/NQAUEURT,NASDAQ Australia EUR TR Index (NQAUEURT)
NASDAQOMX/NQAU8000AUD,NASDAQ Australia Financials AUD Index (NQAU8000AUD)
NASDAQOMX/NQAU8000AUDN,NASDAQ Australia Financials AUD NTR Index (NQAU8000AUDN)
NASDAQOMX/NQAU8000AUDT,NASDAQ Australia Financials AUD TR Index (NQAU8000AUDT)
NASDAQOMX/NQAU8000CAD,NASDAQ Australia Financials CAD Index (NQAU8000CAD)
NASDAQOMX/NQAU8000CADN,NASDAQ Australia Financials CAD NTR Index (NQAU8000CADN)
NASDAQOMX/NQAU8000CADT,NASDAQ Australia Financials CAD TR Index (NQAU8000CADT)
NASDAQOMX/NQAU8000EURN,NASDAQ Australia Financials EUR NTR Index (NQAU8000EURN)
NASDAQOMX/NQAU8000EUR,NASDAQ Australia Financials EUR Index (NQAU8000EUR)
NASDAQOMX/NQAU8000GBP,NASDAQ Australia Financials GBP Index (NQAU8000GBP)
NASDAQOMX/NQAU8000EURT,NASDAQ Australia Financials EUR TR Index (NQAU8000EURT)
NASDAQOMX/NQAU8000GBPN,NASDAQ Australia Financials GBP NTR Index (NQAU8000GBPN)
NASDAQOMX/NQAU8000GBPT,NASDAQ Australia Financials GBP TR Index (NQAU8000GBPT)
NASDAQOMX/NQAU8000,NASDAQ Australia Financials Index (NQAU8000)
NASDAQOMX/NQAU8000JPY,NASDAQ Australia Financials JPY Index (NQAU8000JPY)
NASDAQOMX/NQAU8000JPYT,NASDAQ Australia Financials JPY TR Index (NQAU8000JPYT)
NASDAQOMX/NQAU8000JPYN,NASDAQ Australia Financials JPY NTR Index (NQAU8000JPYN)
NASDAQOMX/NQAU8000LMAUD,NASDAQ Australia Financials Lg Md Cap AUD (NQAU8000LMAUD)
NASDAQOMX/NQAU8000LMAUDN,NASDAQ Australia Financials Lg Md Cap AUD NTR (NQAU8000LMAUDN)
NASDAQOMX/NQAU8000LMAUDT,NASDAQ Australia Financials Lg Md Cap AUD TR (NQAU8000LMAUDT)
NASDAQOMX/NQAU8000LMCAD,NASDAQ Australia Financials Lg Md Cap CAD (NQAU8000LMCAD)
NASDAQOMX/NQAU8000LMCADN,NASDAQ Australia Financials Lg Md Cap CAD NTR (NQAU8000LMCADN)
NASDAQOMX/NQAU8000LMCADT,NASDAQ Australia Financials Lg Md Cap CAD TR (NQAU8000LMCADT)
NASDAQOMX/NQAU8000LMEUR,NASDAQ Australia Financials Lg Md Cap EUR (NQAU8000LMEUR)
NASDAQOMX/NQAU8000LMEURT,NASDAQ Australia Financials Lg Md Cap EUR TR (NQAU8000LMEURT)
NASDAQOMX/NQAU8000LMGBPN,NASDAQ Australia Financials Lg Md Cap GBP NTR (NQAU8000LMGBPN)
NASDAQOMX/NQAU8000LMEURN,NASDAQ Australia Financials Lg Md Cap EUR NTR (NQAU8000LMEURN)
NASDAQOMX/NQAU8000LMGBP,NASDAQ Australia Financials Lg Md Cap GBP (NQAU8000LMGBP)
NASDAQOMX/NQAU8000LMGBPT,NASDAQ Australia Financials Lg Md Cap GBP TR (NQAU8000LMGBPT)
NASDAQOMX/NQAU8000LM,NASDAQ Australia Financials Lg Md Cap Index (NQAU8000LM)
NASDAQOMX/NQAU8000LMJPY,NASDAQ Australia Financials Lg Md Cap JPY (NQAU8000LMJPY)
NASDAQOMX/NQAU8000LMJPYN,NASDAQ Australia Financials Lg Md Cap JPY NTR (NQAU8000LMJPYN)
NASDAQOMX/NQAU8000LMJPYT,NASDAQ Australia Financials Lg Md Cap JPY TR (NQAU8000LMJPYT)
NASDAQOMX/NQAU4000AUD,NASDAQ Australia Health Care AUD Index (NQAU4000AUD)
NASDAQOMX/NQAU8000LMT,NASDAQ Australia Financials Lg Md Cap TR Index (NQAU8000LMT)
NASDAQOMX/NQAU8000LMN,NASDAQ Australia Financials Lg Md Cap NTR Index (NQAU8000LMN)
NASDAQOMX/NQAU8000T,NASDAQ Australia Financials TR Index (NQAU8000T)
NASDAQOMX/NQAU8000N,NASDAQ Australia Financials NTR Index (NQAU8000N)
NASDAQOMX/NQAUGBP,NASDAQ Australia GBP Index (NQAUGBP)
NASDAQOMX/NQAUGBPN,NASDAQ Australia GBP NTR Index (NQAUGBPN)
NASDAQOMX/NQAUGBPT,NASDAQ Australia GBP TR Index (NQAUGBPT)
NASDAQOMX/NQAU4000AUDN,NASDAQ Australia Health Care AUD NTR Index (NQAU4000AUDN)
NASDAQOMX/NQAU4000AUDT,NASDAQ Australia Health Care AUD TR Index (NQAU4000AUDT)
NASDAQOMX/NQAU4000EUR,NASDAQ Australia Health Care EUR Index (NQAU4000EUR)
NASDAQOMX/NQAU4000CADN,NASDAQ Australia Health Care CAD NTR Index (NQAU4000CADN)
NASDAQOMX/NQAU4000CAD,NASDAQ Australia Health Care CAD Index (NQAU4000CAD)
NASDAQOMX/NQAU4000EURN,NASDAQ Australia Health Care EUR NTR Index (NQAU4000EURN)
NASDAQOMX/NQAU4000EURT,NASDAQ Australia Health Care EUR TR Index (NQAU4000EURT)
NASDAQOMX/NQAU4000CADT,NASDAQ Australia Health Care CAD TR Index (NQAU4000CADT)
NASDAQOMX/NQAU4000GBP,NASDAQ Australia Health Care GBP Index (NQAU4000GBP)
NASDAQOMX/NQAU4000GBPN,NASDAQ Australia Health Care GBP NTR Index (NQAU4000GBPN)
NASDAQOMX/NQAU4000GBPT,NASDAQ Australia Health Care GBP TR Index (NQAU4000GBPT)
NASDAQOMX/NQAU4000,NASDAQ Australia Health Care Index (NQAU4000)
NASDAQOMX/NQAU4000JPY,NASDAQ Australia Health Care JPY Index (NQAU4000JPY)
NASDAQOMX/NQAU4000JPYT,NASDAQ Australia Health Care JPY TR Index (NQAU4000JPYT)
NASDAQOMX/NQAU4000JPYN,NASDAQ Australia Health Care JPY NTR Index (NQAU4000JPYN)
NASDAQOMX/NQAU4000N,NASDAQ Australia Health Care NTR Index (NQAU4000N)
NASDAQOMX/NQAU,NASDAQ Australia Index (NQAU)
NASDAQOMX/NQAU4000T,NASDAQ Australia Health Care TR Index (NQAU4000T)
NASDAQOMX/NQAU2000AUDN,NASDAQ Australia Inds AUD NTR Index (NQAU2000AUDN)
NASDAQOMX/NQAU2000AUD,NASDAQ Australia Inds AUD Index (NQAU2000AUD)
NASDAQOMX/NQAU2000AUDT,NASDAQ Australia Inds AUD TR Index (NQAU2000AUDT)
NASDAQOMX/NQAU2000CAD,NASDAQ Australia Inds CAD Index (NQAU2000CAD)
NASDAQOMX/NQAU2000CADN,NASDAQ Australia Inds CAD NTR Index (NQAU2000CADN)
NASDAQOMX/NQAU2000CADT,NASDAQ Australia Inds CAD TR Index (NQAU2000CADT)
NASDAQOMX/NQAU2000EUR,NASDAQ Australia Inds EUR Index (NQAU2000EUR)
NASDAQOMX/NQAU2000GBP,NASDAQ Australia Inds GBP Index (NQAU2000GBP)
NASDAQOMX/NQAU2000EURT,NASDAQ Australia Inds EUR TR Index (NQAU2000EURT)
NASDAQOMX/NQAU2000GBPN,NASDAQ Australia Inds GBP NTR Index (NQAU2000GBPN)
NASDAQOMX/NQAU2000EURN,NASDAQ Australia Inds EUR NTR Index (NQAU2000EURN)
NASDAQOMX/NQAU2000GBPT,NASDAQ Australia Inds GBP TR Index (NQAU2000GBPT)
NASDAQOMX/NQAU2000,NASDAQ Australia Inds Index (NQAU2000)
NASDAQOMX/NQAU2000JPY,NASDAQ Australia Inds JPY Index (NQAU2000JPY)
NASDAQOMX/NQAU2000JPYN,NASDAQ Australia Inds JPY NTR Index (NQAU2000JPYN)
NASDAQOMX/NQAU2000LMAUD,NASDAQ Australia Inds Large Mid Cap AUD Index (NQAU2000LMAUD)
NASDAQOMX/NQAU2000JPYT,NASDAQ Australia Inds JPY TR Index (NQAU2000JPYT)
NASDAQOMX/NQAU2000LMAUDN,NASDAQ Australia Inds Large Mid Cap AUD NTR Index (NQAU2000LMAUDN)
NASDAQOMX/NQAU2000LMCAD,NASDAQ Australia Inds Large Mid Cap CAD Index (NQAU2000LMCAD)
NASDAQOMX/NQAU2000LMCADN,NASDAQ Australia Inds Large Mid Cap CAD NTR Index (NQAU2000LMCADN)
NASDAQOMX/NQAU2000LMCADT,NASDAQ Australia Inds Large Mid Cap CAD TR Index (NQAU2000LMCADT)
NASDAQOMX/NQAU2000LMAUDT,NASDAQ Australia Inds Large Mid Cap AUD TR Index (NQAU2000LMAUDT)
NASDAQOMX/NQAU2000LMEUR,NASDAQ Australia Inds Large Mid Cap EUR Index (NQAU2000LMEUR)
NASDAQOMX/NQAU2000LMEURN,NASDAQ Australia Inds Large Mid Cap EUR NTR Index (NQAU2000LMEURN)
NASDAQOMX/NQAU2000LMGBP,NASDAQ Australia Inds Large Mid Cap GBP Index (NQAU2000LMGBP)
NASDAQOMX/NQAU2000LMEURT,NASDAQ Australia Inds Large Mid Cap EUR TR Index (NQAU2000LMEURT)
NASDAQOMX/NQAU2000LMGBPN,NASDAQ Australia Inds Large Mid Cap GBP NTR Index (NQAU2000LMGBPN)
NASDAQOMX/NQAU2000LMJPY,NASDAQ Australia Inds Large Mid Cap JPY Index (NQAU2000LMJPY)
